frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
38,190,0.46610466,0.53873477,0.60815558,0.46664251,0.53789135,0.60741814,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
39,195,0.46101356,0.53768396,0.60651546,0.46455756,0.53708954,0.60613007,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
40,200,0.45976956,0.53569094,0.60410881,0.46384463,0.53652283,0.60513551,0.00781250,0.00000000,0.93750000,0.05468750,hcp,no
41,205,0.46378406,0.53499547,0.60328489,0.46427561,0.53614270,0.60453314,0.00781250,0.00000000,0.94531250,0.04687500,hcp,no
42,210,0.46855131,0.53550898,0.60361280,0.46564217,0.53594756,0.60425820,0.01562500,0.00000000,0.88281250,0.10156250,hcp,no
43,215,0.46825955,0.53683414,0.60514373,0.46686823,0.53644463,0.60474945,0.00781250,0.00000000,0.92968750,0.06250000,hcp,no
44,220,0.46784638,0.53670828,0.60514080,0.46785885,0.53748513,0.60586433,0.00781250,0.00000000,0.92187500,0.07031250,hcp,no
45,225,0.46589985,0.53817627,0.60656504,0.46906453,0.53913414,0.60770501,0.01562500,0.00000000,0.89843750,0.08593750,hcp,no
46,230,0.46873718,0.54019799,0.60885929,0.46920688,0.54148777,0.61029500,0.01562500,0.00000000,0.91406250,0.07031250,hcp,no
47,235,0.47457971,0.54375402,0.61281619,0.46955262,0.54434939,0.61340449,0.01562500,0.00000000,0.89843750,0.08593750,hcp,no
48,240,0.46897127,0.54860228,0.61809368,0.47132723,0.54709882,0.61616253,0.03125000,0.00000000,0.92968750,0.03906250,hcp,no
49,245,0.46957512,0.55101639,0.62068824,0.47287982,0.54948044,0.61836503,0.03906250,0.00000000,0.89843750,0.06250000,hcp,no
50,250,0.47477287,0.55192344,0.62035523,0.47512102,0.55128105,0.61979686,0.03125000,0.00000000,0.89062500,0.07812500,hcp,no
51,255,0.47650013,0.55210605,0.61987181,0.47767410,0.55221292,0.62027322,0.01562500,0.00000000,0.85937500,0.12500000,hcp,no
52,260,0.48578573,0.55275708,0.61997535,0.47996826,0.55238951,0.61978862,0.01562500,0.00000000,0.87500000,0.10937500,hcp,no
53,265,0.48173668,0.55326163,0.62047545,0.48071419,0.55178428,0.61853790,0.02343750,0.00000000,0.86718750,0.10937500,hcp,no
54,270,0.48104587,0.55189935,0.61826525,0.48067531,0.55024692,0.61650663,0.03125000,0.00000000,0.89843750,0.07031250,hcp,no
55,275,0.47850256,0.54889730,0.61410163,0.47946113,0.54803761,0.61393620,0.02343750,0.00000000,0.92187500,0.05468750,hcp,no
56,280,0.47630570,0.54441921,0.60971545,0.47950553,0.54568124,0.61154528,0.03125000,0.00000000,0.91406250,0.05468750,hcp,no
57,285,0.47971485,0.54171055,0.60712324,0.47939413,0.54362615,0.60978221,0.02343750,0.00000000,0.84375000,0.13281250,hcp,no
58,290,0.48195864,0.54147981,0.60852083,0.47850195,0.54242938,0.60923921,0.03906250,0.00000000,0.88281250,0.07812500,hcp,no
59,295,0.48048891,0.54162387,0.60944992,0.47584164,0.54246023,0.61016692,0.03125000,0.00000000,0.91406250,0.05468750,hcp,no
60,300,0.47404166,0.54291346,0.61138662,0.47265817,0.54292604,0.61151622,0.01562500,0.00000000,0.92968750,0.05468750,hcp,no
61,305,0.46300413,0.54457348,0.61435400,0.46929582,0.54318069,0.61233500,0.00781250,0.00000000,0.95312500,0.03906250,hcp,no
62,310,0.46379751,0.54403959,0.61386973,0.46619412,0.54398778,0.61353420,0.00000000,0.00000000,0.92968750,0.07031250,hcp,no
63,315,0.46514690,0.54275306,0.61261475,0.46385432,0.54532354,0.61524162,0.00781250,0.00000000,0.94531250,0.04687500,hcp,no
64,320,0.46498039,0.54565932,0.61544591,0.46386032,0.54708532,0.61701674,0.00000000,0.00000000,0.95312500,0.04687500,hcp,no
65,325,0.46234268,0.54959224,0.61992369,0.46310760,0.54913033,0.61896957,0.00781250,0.00000000,0.91406250,0.07812500,hcp,no
66,330,0.46303410,0.55338237,0.62322960,0.46348411,0.55100131,0.62054387,0.00781250,0.00000000,0.89843750,0.09375000,hcp,no
67,335,0.46003391,0.55426467,0.62363391,0.46461969,0.55122970,0.62028938,0.00781250,0.00000000,0.96093750,0.03125000,hcp,no
68,340,0.46702945,0.55210793,0.62048625,0.46583519,0.55065330,0.61903924,0.02343750,0.00000000,0.92187500,0.05468750,hcp,no
69,345,0.47065832,0.54680127,0.61417343,0.46711953,0.54947990,0.61735020,0.00781250,0.00000000,0.89843750,0.09375000,hcp,no
70,350,0.46842019,0.54671028,0.61367301,0.46875778,0.54837990,0.61583714,0.01562500,0.00000000,0.88281250,0.10156250,hcp,no
71,355,0.46945578,0.54751533,0.61478438,0.46982934,0.54773078,0.61479233,0.01562500,0.00000000,0.88281250,0.10156250,hcp,no
72,360,0.46822518,0.54876471,0.61606863,0.47077124,0.54783311,0.61489142,0.01562500,0.00000000,0.91406250,0.07031250,hcp,no
73,365,0.47238723,0.54886232,0.61526219,0.47165640,0.54769084,0.61501682,0.02343750,0.00000000,0.87500000,0.10156250,hcp,no
74,370,0.47536780,0.54731294,0.61466891,0.47142273,0.54747329,0.61484177,0.03125000,0.00000000,0.90625000,0.06250000,hcp,no
75,375,0.47284602,0.54599890,0.61430002,0.47112827,0.54709090,0.61426559,0.00000000,0.00000000,0.91406250,0.08593750,hcp,no
76,380,0.46828740,0.54642760,0.61390910,0.46949639,0.54691042,0.61419593,0.00781250,0.00000000,0.91406250,0.07812500,hcp,no
77,385,0.46675291,0.54685277,0.61318776,0.46676529,0.54750594,0.61511246,0.00781250,0.00000000,0.92187500,0.07031250,hcp,no
78,390,0.46422779,0.54795990,0.61491386,0.37219609,0.43830616,0.49225246,0.00000000,0.00000000,0.90625000,0.09375000,unknown,no
79,395,0.46171232,0.55029050,0.61925158,0.27853861,0.32902064,0.36947064,0.01562500,0.00000000,0.95312500,0.03125000,unknown,no
