run,scf_iteration,mixing_beta,energy_ry,estimated_scf_accuracy_ry,mx_muB_cell,my_muB_cell,mz_muB_cell,net_magnetization_muB_cell,absolute_magnetization_muB_cell,absolute_magnetization_muB_atom
try1,50,0.1,-42108.64047604,10.50985653,-3.12,2.03,-18.22,18.596335660554203,80.32,0.6275
try1,51,0.1,-42114.28083696,9.62034524,5.88,-2.7,13.01,14.530123881096127,77.12,0.6025
try1,52,0.1,-42107.53748949,6.1030992,5.28,3.83,-14.73,16.109630659949968,74.06,0.57859375
try1,53,0.1,-42112.77818676,8.57098255,-3.35,-4.36,4.15,6.888729926481369,86.4,0.675
try1,54,0.1,-42111.13436523,3.97121235,1.08,0.53,-0.58,1.3355523202031436,55.32,0.4321875
try1,55,0.1,-42116.10416485,10.11433261,-3.31,-2.39,-8.46,9.3936042071188,85.49,0.667890625
try1,56,0.1,-42110.93047116,5.90573612,3.87,-1.26,6.22,7.433229446209769,77.13,0.602578125
try1,57,0.1,-42114.96061716,5.0056053,-4.27,-0.89,-1.77,4.70721786196475,63.01,0.492265625
try1,58,0.1,-42113.64514013,5.3710927,-1.06,-2.47,-8.57,8.981614554187905,63.08,0.4928125
try1,59,0.1,-42114.66403969,4.74944065,-1.26,-4.84,5.12,7.157345876789803,66.97,0.523203125
try1,60,0.1,-42115.269486,3.44211611,-2.61,-2.44,4.49,5.738100731078185,56.97,0.445078125
try1,61,0.1,-42115.44944123,3.41409434,-2.7,-1.53,-3.18,4.4433433358227,56.02,0.43765625
try1,62,0.1,-42112.65386322,7.62271715,3.01,3.73,-7.08,8.549818711528333,83.33,0.651015625
try1,63,0.1,-42115.95667387,2.82689391,-0.88,0.61,1.19,1.6008122938058664,53.65,0.419140625
try1,64,0.1,-42115.13046733,3.22178888,-2.03,0.44,-11.62,11.804189934086963,51.73,0.404140625
try1,65,0.1,-42115.0336877,4.07823598,2.19,-2.06,11.14,11.538600435061438,63.32,0.4946875
try1,66,0.1,-42114.05354612,3.24534877,0.22,2.22,-9.28,9.544380545640456,58.53,0.457265625
try1,67,0.1,-42114.74395021,3.60683983,-0.81,-1.48,6.29,6.512342128604732,60.69,0.474140625
try1,68,0.1,-42115.88471134,3.53257553,-4.09,-0.79,-3.62,5.518749858437144,58.15,0.454296875
try1,69,0.1,-42114.44452961,2.26992551,1.4,-2.7,-3.56,4.68226440944977,46.84,0.3659375
try1,70,0.1,-42110.71441194,11.31981879,-0.78,4.46,9.42,10.45162188370781,96.29,0.752265625
try1,71,0.1,-42115.26100824,4.05755983,0.05,-2.88,5.28,6.014590592883276,62.91,0.491484375
try1,72,0.1,-42114.515151,2.3040784,1.29,-0.3,-3.88,4.099817069089791,45.48,0.3553125
try1,73,0.1,-42115.37555425,5.70590478,-8.26,-3.19,4.86,10.100658394382021,68.92,0.5384375
try1,74,0.1,-42115.371688,1.84525653,0.5,-0.85,-2.79,2.9591552848743845,40.36,0.3153125
try1,75,0.1,-42117.34383782,3.68703863,-1.35,-0.52,1.71,2.239866067424568,56.48,0.44125
try1,76,0.1,-42113.37611798,6.38380246,3.38,1.02,-10.04,10.642668838219103,81.58,0.63734375
try1,77,0.1,-42114.9055568,3.25927552,-2.21,-2.7,-0.2,3.494867665591932,57.71,0.450859375
try1,78,0.1,-42117.43345594,4.63240204,0.68,-4.26,6.57,7.85970101212508,61.82,0.48296875
try1,79,0.1,-42113.32196129,3.07609613,1.93,-1.93,12.92,13.205158083112826,60.33,0.471328125
try1,80,0.1,-42115.36661777,6.98662821,-1.63,1.29,-16.36,16.491531159962072,72.19,0.563984375
try1,81,0.1,-42117.80503196,3.40263727,-1.01,-2.0,-0.15,2.2455734234266314,50.86,0.39734375
