phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.32_4000K,dataset/bcc/non-mag/2.32_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.142761817294997,4.106609798713284,4000.0,3679.926025390625,-320.073974609375,434.7950134277344,452.2439880371094,458.7680358886719,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_4500K,dataset/bcc/non-mag/2.32_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.620314523332299,4.525704530002601,4500.0,4254.58447265625,-245.41552734375,435.2680358886719,458.3310241699219,463.7890319824219,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_5000K,dataset/bcc/non-mag/2.32_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.56452309324095,4.691538740882764,5000.0,4725.05224609375,-274.94775390625,433.74200439453125,460.3000183105469,470.0810241699219,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_5500K,dataset/bcc/non-mag/2.32_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.242159446076856,5.0782929159364425,5500.0,5448.58984375,-51.41015625,434.083984375,466.239990234375,472.23199462890625,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.32_6000K,dataset/bcc/non-mag/2.32_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.680297661430499,5.058548133579652,6000.0,5502.2109375,-497.7890625,434.375,467.1310119628906,476.1340026855469,6.243628393688242
BCC,non-magnetic,BCC nonmagnetic,2.33_4000K,dataset/bcc/non-mag/2.33_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.363341276608427,4.203265510679625,4000.0,4029.96728515625,29.96728515625,413.0450134277344,433.0690002441406,438.6210021972656,6.324617347411708
BCC,non-magnetic,BCC nonmagnetic,2.33_4500K,dataset/bcc/non-mag/2.33_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.266719582304981,4.494178757591356,4500.0,4435.15283203125,-64.84716796875,412.70098876953125,435.625,445.8059997558594,6.324617347411708
BCC,non-magnetic,BCC nonmagnetic,2.33_5000K,dataset/bcc/non-mag/2.33_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.989373003290227,4.7168999588931095,5000.0,4775.12353515625,-224.87646484375,413.1750183105469,438.4880065917969,447.3830261230469,6.324617347411708
BCC,non-magnetic,BCC nonmagnetic,2.33_5500K,dataset/bcc/non-mag/2.33_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.080732781913607,4.794668811370469,5500.0,5052.50830078125,-447.49169921875,411.98199462890625,440.8399963378906,449.3799743652344,6.324617347411708
BCC,non-magnetic,BCC nonmagnetic,2.33_6000K,dataset/bcc/non-mag/2.33_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.776713875383166,5.204589037857834,6000.0,6065.51171875,65.51171875,411.208984375,449.5700378417969,457.8410339355469,6.324617347411708
BCC,non-magnetic,BCC nonmagnetic,2.34_4000K,dataset/bcc/non-mag/2.34_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.992923278216745,4.036525846674148,4000.0,3830.880859375,-169.119140625,390.6540222167969,408.7019958496094,417.2669982910156,6.406412310900512
