frame_index,step,mean_bcc_score,mean_fcc_score,mean_hcp_score,smoothed_bcc_score,smoothed_fcc_score,smoothed_hcp_score,bcc_fraction,fcc_fraction,hcp_fraction,unknown_fraction,dominant_phase,transition_here
44,220,0.42155387,0.74753966,0.73664316,0.42229366,0.74829139,0.73666473,0.00000000,0.29687500,0.09375000,0.60937500,unknown,no
45,225,0.42703914,0.73917709,0.73229266,0.42280358,0.74666982,0.73613119,0.00000000,0.25000000,0.12500000,0.62500000,unknown,no
46,230,0.42432517,0.74082945,0.73318129,0.42321131,0.74735430,0.73675733,0.00000000,0.25781250,0.10937500,0.63281250,unknown,no
47,235,0.42271936,0.75064483,0.73925475,0.42256455,0.74973157,0.73769348,0.00000000,0.27343750,0.07812500,0.64843750,unknown,no
48,240,0.42041900,0.75858047,0.74241479,0.42131892,0.75332829,0.73906320,0.00000000,0.32031250,0.06250000,0.61718750,unknown,no
49,245,0.41832005,0.75942601,0.74132390,0.42150789,0.75575488,0.73992999,0.00000000,0.31250000,0.04687500,0.64062500,unknown,no
50,250,0.42081103,0.75716070,0.73914125,0.42219757,0.75509519,0.73898715,0.00000000,0.34375000,0.05468750,0.60156250,unknown,no
51,255,0.42527002,0.75296238,0.73751528,0.42380715,0.75210711,0.73688588,0.00000000,0.33593750,0.05468750,0.60937500,unknown,no
52,260,0.42616776,0.74734639,0.73454053,0.42557183,0.74834255,0.73476663,0.00000000,0.28125000,0.06250000,0.65625000,unknown,no
53,265,0.42846688,0.74364006,0.73190842,0.42781361,0.74524128,0.73379595,0.00000000,0.28125000,0.03906250,0.67968750,unknown,no
54,270,0.42714348,0.74060319,0.73072766,0.42870760,0.74349837,0.73350254,0.00000000,0.28125000,0.09375000,0.62500000,unknown,no
55,275,0.43201992,0.74165437,0.73428785,0.42888149,0.74359010,0.73386058,0.00000000,0.27343750,0.10156250,0.62500000,unknown,no
56,280,0.42973997,0.74424783,0.73604823,0.42767597,0.74482499,0.73500393,0.00000000,0.25781250,0.10156250,0.64062500,unknown,no
57,285,0.42703720,0.74780505,0.73633076,0.42676392,0.74754165,0.73689706,0.00000000,0.29687500,0.11718750,0.58593750,unknown,no
