step,temperature_K,pressure_GPa,scf_iterations,net_moment_muB,absolute_moment_muB,local_moment_mean_muB,scf_correction_percent,energy_Ry,scf_accuracy_Ry
1,3970.28380599,428.956,19.0,0.13152946437965907,85.56,1.583008488569553,1.6179861495701502,-15785.64993186,7.819e-05
2,3949.60432882,429.215,724.0,0.13304134695650072,85.57,1.5832469950875534,1.2092707640933502,-15785.65919615,9.942e-05
3,4104.38446396,428.563,86.0,0.150996688705415,85.66,1.582560224038022,1.903295210055486,-15785.71249374,8.692e-05
4,4317.08969721,427.56899999999996,30.0,0.18055470085267789,85.72,1.583133419494547,1.6943430872033174,-15785.82044664,9.195e-05
5,4773.4320893,425.25100000000003,148.0,0.19621416870348582,85.82,1.5846482145469951,1.873110127195894,-15785.97191654,9.694e-05
6,5074.3917972,423.401,110.0,0.20223748416156684,85.98,1.5872644808580525,1.6536934560516239,-15786.1627317,9.513e-05
