# segment point distance q1 q2 q3 frequency_1_THz frequency_2_THz frequency_3_THz
0.0000000000 43.0000000000 0.1877729289 0.2150000000 -0.2150000000 0.2150000000 11.4524299820 11.4524299820 15.9168659543
0.0000000000 44.0000000000 0.1921397412 0.2200000000 -0.2200000000 0.2200000000 11.6947228305 11.6947228305 16.0217216613
0.0000000000 45.0000000000 0.1965065535 0.2250000000 -0.2250000000 0.2250000000 11.9336597901 11.9336597901 16.1163843928
0.0000000000 46.0000000000 0.2008733658 0.2300000000 -0.2300000000 0.2300000000 12.1690721003 12.1690721003 16.2013875344
0.0000000000 47.0000000000 0.2052401781 0.2350000000 -0.2350000000 0.2350000000 12.4007956521 12.4007956521 16.2772900864
0.0000000000 48.0000000000 0.2096069904 0.2400000000 -0.2400000000 0.2400000000 12.6286716074 12.6286716074 16.3446740364
0.0000000000 49.0000000000 0.2139738027 0.2450000000 -0.2450000000 0.2450000000 12.8525469915 12.8525469915 16.4041414859
0.0000000000 50.0000000000 0.2183406150 0.2500000000 -0.2500000000 0.2500000000 13.0722752555 13.0722752555 16.4563115318
0.0000000000 51.0000000000 0.2227074273 0.2550000000 -0.2550000000 0.2550000000 13.2877168084 13.2877168084 16.5018169077
0.0000000000 52.0000000000 0.2270742396 0.2600000000 -0.2600000000 0.2600000000 13.4987395141 13.4987395141 16.5413003898
0.0000000000 53.0000000000 0.2314410519 0.2650000000 -0.2650000000 0.2650000000 13.7052191542 13.7052191542 16.5754109833
0.0000000000 54.0000000000 0.2358078642 0.2700000000 -0.2700000000 0.2700000000 13.9070398515 13.9070398515 16.6047999052
0.0000000000 55.0000000000 0.2401746765 0.2750000000 -0.2750000000 0.2750000000 14.1040944553 14.1040944553 16.6301163870
0.0000000000 56.0000000000 0.2445414888 0.2800000000 -0.2800000000 0.2800000000 14.2962848841 14.2962848841 16.6520033294
0.0000000000 57.0000000000 0.2489083011 0.2850000000 -0.2850000000 0.2850000000 14.4835224270 14.4835224270 16.6710928427
0.0000000000 58.0000000000 0.2532751134 0.2900000000 -0.2900000000 0.2900000000 14.6657279991 14.6657279991 16.6880017190
0.0000000000 59.0000000000 0.2576419257 0.2950000000 -0.2950000000 0.2950000000 14.8428323523 14.8428323523 16.7033268842
0.0000000000 60.0000000000 0.2620087380 0.3000000000 -0.3000000000 0.3000000000 15.0147762384 15.0147762384 16.7176408856
0.0000000000 61.0000000000 0.2663755503 0.3050000000 -0.3050000000 0.3050000000 15.1815105249 15.1815105249 16.7314874765
0.0000000000 62.0000000000 0.2707423626 0.3100000000 -0.3100000000 0.3100000000 15.3429962611 15.3429962611 16.7453773624
0.0000000000 63.0000000000 0.2751091749 0.3150000000 -0.3150000000 0.3150000000 15.4992046948 15.4992046948 16.7597841759
0.0000000000 64.0000000000 0.2794759872 0.3200000000 -0.3200000000 0.3200000000 15.6501172388 15.6501172388 16.7751407492
0.0000000000 65.0000000000 0.2838427995 0.3250000000 -0.3250000000 0.3250000000 15.7957253862 15.7957253862 16.7918357504
0.0000000000 66.0000000000 0.2882096118 0.3300000000 -0.3300000000 0.3300000000 15.9360305750 15.9360305750 16.8102107489
0.0000000000 67.0000000000 0.2925764241 0.3350000000 -0.3350000000 0.3350000000 16.0710440018 16.0710440018 16.8305577672
0.0000000000 68.0000000000 0.2969432364 0.3400000000 -0.3400000000 0.3400000000 16.2007863845 16.2007863845 16.8531173705
0.0000000000 69.0000000000 0.3013100487 0.3450000000 -0.3450000000 0.3450000000 16.3252876747 16.3252876747 16.8780773360
0.0000000000 70.0000000000 0.3056768610 0.3500000000 -0.3500000000 0.3500000000 16.4445867204 16.4445867204 16.9055719314
0.0000000000 71.0000000000 0.3100436733 0.3550000000 -0.3550000000 0.3550000000 16.5587308804 16.5587308804 16.9356818219
0.0000000000 72.0000000000 0.3144104856 0.3600000000 -0.3600000000 0.3600000000 16.6677755910 16.6677755910 16.9684346093
0.0000000000 73.0000000000 0.3187772979 0.3650000000 -0.3650000000 0.3650000000 16.7717838868 16.7717838868 17.0038059955
0.0000000000 74.0000000000 0.3231441102 0.3700000000 -0.3700000000 0.3700000000 16.8708258778 16.8708258778 17.0417215486
0.0000000000 75.0000000000 0.3275109225 0.3750000000 -0.3750000000 0.3750000000 16.9649781847 16.9649781847 17.0820590379
0.0000000000 76.0000000000 0.3318777348 0.3800000000 -0.3800000000 0.3800000000 17.0543233346 17.0543233346 17.1246512924
0.0000000000 77.0000000000 0.3362445471 0.3850000000 -0.3850000000 0.3850000000 17.1389491207 17.1389491207 17.1692895301
0.0000000000 78.0000000000 0.3406113594 0.3900000000 -0.3900000000 0.3900000000 17.2157270949 17.2189479285 17.2189479285
0.0000000000 79.0000000000 0.3449781717 0.3950000000 -0.3950000000 0.3950000000 17.2636835368 17.2944160326 17.2944160326
0.0000000000 80.0000000000 0.3493449840 0.4000000000 -0.4000000000 0.4000000000 17.3128489635 17.3654528672 17.3654528672
0.0000000000 81.0000000000 0.3537117963 0.4050000000 -0.4050000000 0.4050000000 17.3628885947 17.4321602750 17.4321602750
0.0000000000 82.0000000000 0.3580786086 0.4100000000 -0.4100000000 0.4100000000 17.4134474493 17.4946417399 17.4946417399
0.0000000000 83.0000000000 0.3624454209 0.4150000000 -0.4150000000 0.4150000000 17.4641550981 17.5530016055 17.5530016055
0.0000000000 84.0000000000 0.3668122332 0.4200000000 -0.4200000000 0.4200000000 17.5146304207 17.6073442882 17.6073442882
0.0000000000 85.0000000000 0.3711790455 0.4250000000 -0.4250000000 0.4250000000 17.5644863075 17.6577734865 17.6577734865
0.0000000000 86.0000000000 0.3755458578 0.4300000000 -0.4300000000 0.4300000000 17.6133342577 17.7043913950 17.7043913950
0.0000000000 87.0000000000 0.3799126701 0.4350000000 -0.4350000000 0.4350000000 17.6607888254 17.7472979268 17.7472979268
0.0000000000 88.0000000000 0.3842794824 0.4400000000 -0.4400000000 0.4400000000 17.7064718780 17.7865899505 17.7865899505
0.0000000000 89.0000000000 0.3886462947 0.4450000000 -0.4450000000 0.4450000000 17.7500166321 17.8223605487 17.8223605487
0.0000000000 90.0000000000 0.3930131070 0.4500000000 -0.4500000000 0.4500000000 17.7910714425 17.8546983013 17.8546983013
0.0000000000 91.0000000000 0.3973799193 0.4550000000 -0.4550000000 0.4550000000 17.8293033225 17.8836866023 17.8836866023
0.0000000000 92.0000000000 0.4017467316 0.4600000000 -0.4600000000 0.4600000000 17.8644011806 17.9094030134 17.9094030134
0.0000000000 93.0000000000 0.4061135439 0.4650000000 -0.4650000000 0.4650000000 17.8960787608 17.9319186611 17.9319186611
0.0000000000 94.0000000000 0.4104803562 0.4700000000 -0.4700000000 0.4700000000 17.9240772805 17.9512976814 17.9512976814
0.0000000000 95.0000000000 0.4148471685 0.4750000000 -0.4750000000 0.4750000000 17.9481677594 17.9675967180 17.9675967180
0.0000000000 96.0000000000 0.4192139808 0.4800000000 -0.4800000000 0.4800000000 17.9681530375 17.9808644776 17.9808644776
