step,temperature_K,pressure_GPa,scf_iterations,net_moment_muB_atom,absolute_moment_muB_atom,local_moment_muB,force_correction_percent,energy_Ry,Fermi_eV
1,3970.28380599,428.956,19.0,0.0027401971745762304,1.7825,1.583008488569553,1.6179861495701502,-15785.64993186,34.0682
2,3949.60432882,429.215,724.0,0.0027716947282604315,1.7827083333333331,1.5832469950875534,1.2092707640933502,-15785.65919615,34.0677
3,4104.38446396,428.563,86.0,0.003145764348029479,1.7845833333333332,1.582560224038022,1.903295210055486,-15785.71249374,34.0668
4,4317.08969721,427.56899999999996,30.0,0.0037615562677641226,1.7858333333333334,1.583133419494547,1.6943430872033174,-15785.82044664,34.0633
5,4773.4320893,425.25100000000003,148.0,0.004087795181322621,1.7879166666666666,1.5846482145469951,1.873110127195894,-15785.97191654,34.0598
6,5074.3917972,423.401,110.0,0.004213280920032643,1.79125,1.5872644808580525,1.6536934560516239,-15786.1627317,34.0549
