ATOMIC_VELOCITIES { a.u }
Fe04 -6.1087261682979247e-04  6.9133518582012310e-05  1.1812904543325317e-03
Fe13 -8.2598221098933099e-04 -9.2778516837510464e-04  5.0822394053070153e-04
Fe15 -6.4306334180360010e-04  9.6190638170591525e-04 -8.7295216183330050e-05
Fe06 -1.2521675682675506e-04 -2.8038185747621510e-04 -7.8783253579168633e-04
Fe08 -3.0036443555401469e-04 -4.9184208958929815e-04  5.4629326298726293e-04
Fe03  3.3687148368620180e-04  4.6734583709732736e-04 -4.3075530021965974e-04
Fe02  2.0121461234063665e-03  4.0630244736318186e-04 -6.5944002346469456e-04
Fe11  1.5648175491092490e-04 -2.0467906930781888e-04 -2.7048458219112542e-04
Fe09  4.6734583709732741e-04 -4.3075530021965979e-04  3.3687148368620180e-04
Fe12  4.0630244736318191e-04 -6.5944002346469456e-04  2.0121461234063665e-03
Fe10 -2.0467906930781888e-04 -2.7048458219112548e-04  1.5648175491092493e-04
Fe05  6.9133518582012351e-05  1.1812904543325317e-03 -6.1087261682979247e-04
Fe01 -9.2778516837510464e-04  5.0822394053070153e-04 -8.2598221098933099e-04
Fe16  9.6190638170591525e-04 -8.7295216183330118e-05 -6.4306334180360010e-04
Fe14 -2.8038185747621504e-04 -7.8783253579168633e-04 -1.2521675682675501e-04
Fe07 -4.9184208958929804e-04  5.4629326298726293e-04 -3.0036443555401469e-04
Fe24 -6.1087261682979247e-04  6.9133518582012337e-05  1.1812904543325317e-03
Fe29 -8.2598221098933099e-04 -9.2778516837510464e-04  5.0822394053070153e-04
Fe32 -6.4306334180360010e-04  9.6190638170591525e-04 -8.7295216183330077e-05
Fe22 -1.2521675682675506e-04 -2.8038185747621504e-04 -7.8783253579168633e-04
Fe17 -3.0036443555401469e-04 -4.9184208958929804e-04  5.4629326298726293e-04
Fe26  1.1812904543325317e-03 -6.1087261682979247e-04  6.9133518582012351e-05
Fe28  5.0822394053070153e-04 -8.2598221098933099e-04 -9.2778516837510464e-04
Fe31 -8.7295216183330077e-05 -6.4306334180360010e-04  9.6190638170591525e-04
Fe30 -7.8783253579168633e-04 -1.2521675682675506e-04 -2.8038185747621510e-04
Fe18  5.4629326298726293e-04 -3.0036443555401469e-04 -4.9184208958929815e-04
Fe27 -4.3075530021965974e-04  3.3687148368620180e-04  4.6734583709732736e-04
Fe23 -6.5944002346469456e-04  2.0121461234063665e-03  4.0630244736318186e-04
Fe20 -2.7048458219112542e-04  1.5648175491092490e-04 -2.0467906930781885e-04
Fe21  3.3687148368620180e-04  4.6734583709732741e-04 -4.3075530021965979e-04
Fe19  2.0121461234063665e-03  4.0630244736318191e-04 -6.5944002346469456e-04
Fe25  1.5648175491092490e-04 -2.0467906930781888e-04 -2.7048458219112548e-04
