frame_index,iteration,time_ps,temperature_K,pressure_GPa,mag_total_Bohr,abs_mag_total_Bohr,b000,b001
0,1,0.0,4000.0,429.104,0.09219544457292887,57.27,-18.109194025455565,16.745965074894364
1,2,0.0009999667806108177,3843.91962297,428.84700000000004,0.09486832980505139,57.25,-19.174277315238523,16.59839690766624
2,3,0.0019999335612216353,3817.90888592,427.842,0.09486832980505137,57.28,-21.157089941764017,16.362437251846472
3,4,0.0029999003418324528,3597.10232855,426.821,0.10392304845413264,57.3,-23.42427653035771,15.993834071677187
4,5,0.003999867122443271,4319.23755469,424.558,0.10198039027185571,57.38,-26.455940751739945,15.489517962975919
5,6,0.0049998339030540885,5465.499692,421.76599999999996,0.1063014581273465,57.47,-29.726622260793754,14.836763774812583
6,7,0.0059998006836649055,5259.72167227,420.14,0.12083045973594572,57.58,-32.5978328390488,14.31184148175888
7,8,0.006999767464275723,5205.50966898,417.41700000000003,0.12449899597988733,57.66,-35.03034241618502,13.67858067184948
8,9,0.007999734244886541,5083.31433137,414.87,0.14352700094407325,57.72,-36.66763292149339,13.1417304504057
9,10,0.008999701025497358,6032.33647455,411.70799999999997,0.1661324772583615,57.81,-37.69004949168879,12.638911552076008
10,11,0.009999667806108177,6640.58344213,408.82399999999996,0.20615528128088303,57.87,-37.90245120786597,12.25270040926128
11,12,0.010999634586718994,6797.06995593,406.86,0.23452078799117146,57.94,-37.88879947285542,12.04963129892395
12,13,0.011999601367329811,6306.48965177,404.46999999999997,0.2643860813280457,57.95,-37.401988831587474,11.974768255883449
13,14,0.01299956814794063,6728.58799452,402.637,0.3560898762952971,58.0,-36.60789250882483,12.043854235592175
14,15,0.013999534928551447,6237.98074036,400.823,0.37322915213043045,58.02,-35.21609715336886,12.110461056456401
15,16,0.014999501709162266,5967.65706151,398.67600000000004,0.40755367744629667,58.02,-34.04344838865238,12.279332336200538
16,17,0.015999468489773083,5846.61592214,397.673,0.4414748010928823,58.02,-32.86585764385922,12.40529175688647
17,18,0.0169994352703839,6467.82752571,396.54200000000003,0.43977266854592045,58.01,-31.55813098102512,12.635895223567603
18,19,0.017999402050994717,6027.56695562,395.288,0.45188494110780014,58.03,-30.761993653356228,12.871359011814183
19,20,0.018999368831605537,5701.98900062,394.342,0.43703546766824314,58.01,-29.80992900203359,13.066836126406697
20,21,0.019999335612216354,5185.7162713,393.637,0.40558599581346494,58.01,-29.191219180659534,13.281970794287139
21,22,0.02099930239282717,5507.5122416,392.96799999999996,0.383275357934736,58.01,-28.804332446211852,13.478100301715758
22,23,0.021999269173437988,5424.64991678,391.924,0.3790778284204973,57.94,-28.167015799170173,13.651174102883955
23,24,0.022999235954048805,5434.48904356,390.674,0.3586084215408222,57.94,-28.602590480382002,13.977098626053401
24,25,0.023999202734659622,5465.41523356,389.81100000000004,0.32062439083762795,57.93,-28.691109386940035,14.251998288069947
25,26,0.024999169515270443,5367.79460611,388.704,0.3043024810940588,57.93,-28.884303097112294,14.545491028716686
26,27,0.02599913629588126,5241.23276945,388.365,0.2601922366251538,57.93,-29.009392072156412,14.8119067899747
27,28,0.026999103076492077,4697.07619361,386.856,0.25826343140289915,57.92,-29.316064888867974,15.121490366571424
28,29,0.027999069857102894,4343.43213268,386.25,0.22825424421026655,57.95,-29.512661962562028,15.396999781488203
29,30,0.02899903663771371,5082.81478577,384.762,0.23537204591879637,57.93,-29.504840352284532,15.646165722493077
30,31,0.02999900341832453,4398.18849735,383.799,0.21954498400100148,57.92,-29.601601867924575,15.974205041484312
31,32,0.030998970198935348,4986.19106122,382.60900000000004,0.21470910553583888,57.94,-29.561470730038142,16.271504949889795
32,33,0.031998936979546165,4917.11975301,382.767,0.21118712081942875,57.96,-29.4631376553245,16.57879106789022
33,34,0.03299890376015698,4602.8671582,381.07,0.21400934559032694,57.96,-29.387697940595906,16.871994492707987
34,35,0.0339988705407678,4960.18085517,379.8,0.220454076850486,57.96,-29.319465782691786,17.212504185955385
35,36,0.034998837321378616,4994.6485406,378.96799999999996,0.22135943621178658,57.96,-28.89257561657648,17.467751219941576
36,37,0.03599880410198943,4579.69305383,377.781,0.2258317958127243,57.97,-28.93252870842304,17.868976372818683
37,38,0.03699877088260025,4701.57344184,377.45799999999997,0.23832750575625972,57.96,-29.140574872339947,18.36481043126035
38,39,0.037998737663211074,4676.21838082,377.49,0.24535688292770594,57.97,-29.098505045976918,18.679258337812023
39,40,0.03899870444382189,4581.64894125,376.402,0.2774887385102322,57.93,-29.167100566852525,19.094272447404666
40,41,0.03999867122443271,4458.83883041,376.377,0.29017236257093815,57.92,-29.25773314770283,19.40440041436338
41,42,0.040998638005043525,4011.38585245,376.467,0.31843366656181316,57.92,-29.364696493367386,19.713393673004713
42,43,0.04199860478565434,3806.3986887,376.198,0.33823069050575527,57.88,-29.37346708306298,19.937404394076633
43,44,0.04299857156626516,3436.69565528,376.147,0.3749666651850535,57.87,-29.371223257486303,20.11575633902436
44,45,0.043998538346875976,3190.99775633,376.588,0.403732584763727,57.83,-29.340491482221452,20.236256089697253
45,46,0.04499850512748679,2673.71812699,376.85,0.4173727350941841,57.84,-29.159029692034245,20.295975006992958
46,47,0.04599847190809761,2927.70689195,376.68,0.44147480109288234,57.81,-29.065631660231663,20.25148502614059
47,48,0.04699843868870843,3312.77634176,377.307,0.4448595283907045,57.79,-28.82074833827683,20.15390882968515
48,49,0.047998405469319244,3154.6004919,376.761,0.47759815745038214,57.77,-28.66309689928546,20.092348751364735
49,50,0.04899837224993007,3068.25892855,376.918,0.4817675788178362,57.72,-28.365853866038144,20.007808766002842
50,51,0.049998339030540885,3841.06462846,377.443,0.49729267036625424,57.69,-28.163987813733762,19.84813033325565
51,52,0.0509983058111517,3496.02388297,377.4,0.5536244214266564,57.64,-27.924245187156053,19.69127051559228
