b000, b001, 

-26.137252051246346, 17.41346897081276, 

-18.109194025455565, 16.745965074894364, 
-19.174277315238523, 16.59839690766624, 
-21.157089941764017, 16.362437251846472, 
-23.42427653035771, 15.993834071677187, 
-26.455940751739945, 15.489517962975919, 
-29.726622260793754, 14.836763774812583, 
-32.5978328390488, 14.31184148175888, 
-35.03034241618502, 13.67858067184948, 
-36.66763292149339, 13.1417304504057, 
-37.69004949168879, 12.638911552076008, 
-37.90245120786597, 12.25270040926128, 
-37.88879947285542, 12.04963129892395, 
-37.401988831587474, 11.974768255883449, 
-36.60789250882483, 12.043854235592175, 
-35.21609715336886, 12.110461056456401, 
-34.04344838865238, 12.279332336200538, 
-32.86585764385922, 12.40529175688647, 
-31.55813098102512, 12.635895223567603, 
-30.761993653356228, 12.871359011814183, 
-29.80992900203359, 13.066836126406697, 
-29.191219180659534, 13.281970794287139, 
-28.804332446211852, 13.478100301715758, 
-28.167015799170173, 13.651174102883955, 
-28.602590480382002, 13.977098626053401, 
-28.691109386940035, 14.251998288069947, 
-28.884303097112294, 14.545491028716686, 
-29.009392072156412, 14.8119067899747, 
-29.316064888867974, 15.121490366571424, 
-29.512661962562028, 15.396999781488203, 
-29.504840352284532, 15.646165722493077, 
-29.601601867924575, 15.974205041484312, 
-29.561470730038142, 16.271504949889795, 
-29.4631376553245, 16.57879106789022, 
-29.387697940595906, 16.871994492707987, 
-29.319465782691786, 17.212504185955385, 
-28.89257561657648, 17.467751219941576, 
-28.93252870842304, 17.868976372818683, 
-29.140574872339947, 18.36481043126035, 
-29.098505045976918, 18.679258337812023, 
-29.167100566852525, 19.094272447404666, 
-29.25773314770283, 19.40440041436338, 
-29.364696493367386, 19.713393673004713, 
-29.37346708306298, 19.937404394076633, 
-29.371223257486303, 20.11575633902436, 
-29.340491482221452, 20.236256089697253, 
-29.159029692034245, 20.295975006992958, 
-29.065631660231663, 20.25148502614059, 
-28.82074833827683, 20.15390882968515, 
-28.66309689928546, 20.092348751364735, 
-28.365853866038144, 20.007808766002842, 
-28.163987813733762, 19.84813033325565, 
-27.924245187156053, 19.69127051559228, 
-27.876368794666778, 19.644598055595605, 
-27.761840253466517, 19.60565791769645, 
-27.801674554540526, 19.645435618225864, 
-27.867447471965285, 19.679371665928993, 
-27.988423906180255, 19.78351815305324, 
-28.267664792750654, 19.95902134262059, 
-28.43302618146182, 20.176001787254872, 
-28.57332270822889, 20.27617258054754, 
-28.681580912658262, 20.446884464648424, 
-28.755763919893194, 20.55286336183297, 
-28.68331797035125, 20.556133348668013, 
-28.409792836793102, 20.54375661344088, 
-27.99531095172993, 20.38875603970694, 
-27.379940880450782, 20.145427570889815, 
-26.556536838001083, 19.782512685396863, 
-25.66409895606257, 19.32416618015987, 
-24.647561680564532, 18.798340570559144, 
-23.53186891633602, 18.227631170102693, 
-22.286659866209657, 17.52875686914619, 
-21.133100649023216, 16.88938341678091, 
-20.01166517859455, 16.314456555411585, 
-19.118598526340637, 15.82476486028013, 
-18.382240275656482, 15.461135347867579, 
-17.834265253107404, 15.192588952514273, 
-17.582526969620204, 15.126105805982208, 
-17.567668557267115, 15.20799635659229, 
-17.742842815198422, 15.375492805842397, 
-18.103232894389357, 15.648709715419841, 
-18.47627237291858, 15.887405845036136, 
-18.9771621552186, 16.21228192967, 
-19.51226595384214, 16.56196269011036, 
-19.89684427443655, 16.77606736401727, 
-20.240654817195, 16.933097458603267, 
-20.525505035896014, 17.10232971184559, 
-20.601005792646397, 17.05742764252888, 
-20.583330814382606, 16.99776882041936, 
-20.400568878576532, 16.824133005236227, 
-20.12510719844193, 16.577435561252745, 
-19.757854328700162, 16.292819493625593, 
-19.321689227722526, 15.958264327196428, 
-18.90493795799743, 15.64270186392308, 
-18.439044088025753, 15.32630413386586, 
-17.944715555530134, 14.972383808440009, 
-17.42881884148333, 14.67721713945522, 
-17.073272044561, 14.392014539417135, 
-16.706627219494766, 14.18481912045672, 
-16.557782496190107, 14.102099776231904, 
-16.589917637933613, 14.126532557192153, 
-16.885292964766723, 14.357499673951827, 
-17.258330267674108, 14.63991096481599, 
-17.92334687407209, 15.12999486486777, 
-18.846564448374796, 15.793484188219239, 
-19.838664491555395, 16.515602860456333, 
-20.79056506872883, 17.19747665622967, 
-21.65714352542271, 17.830121553565025, 
-22.43018574688275, 18.426791215115934, 
-22.989429130247743, 18.858975063838493, 
-23.34240423215026, 19.148398426617337, 
-23.47455417443545, 19.27857735799083, 
-23.458459344541307, 19.31202033261097, 
-23.172683066638314, 19.15523649914063, 
-22.825928157773088, 18.932451744448883, 
-22.40056244859867, 18.647445325979543, 
-22.040976156607087, 18.359596038323907, 
-21.58486415019929, 18.02268594979326, 
-21.29030182393154, 17.734385861379558, 
-21.14477608816132, 17.511099136443192, 
-21.166716045503993, 17.350468688245186, 
-21.296492063333165, 17.277646446294536, 
-21.607997247080082, 17.272408104967077, 
-22.018398350923295, 17.317817204520505, 
-22.530710327684854, 17.433700395396045, 
-23.13179885355713, 17.564251375256948, 
-23.82227255580633, 17.741094789343496, 
-24.566129572879444, 17.925341552951956, 
-25.177553985690427, 18.20483075274716, 
-25.869257052978075, 18.48529179603533, 
-26.589458874566514, 18.77252693985162, 
-27.325422779194387, 19.11304390119432, 
-27.97939521474956, 19.429178151249626, 
-28.569613348791446, 19.728578238161592, 
-29.012572175353114, 19.968812653171742, 
-29.368203654314065, 20.14515822494382, 
-29.51753287775588, 20.185570291418188, 
-29.57431163174934, 20.20368793118414, 
-29.537151757475126, 20.12991458317689, 
-29.42766429302754, 20.03768955883144, 
-29.26649084976421, 19.89724600223962, 
-29.086610319141457, 19.738781523031335, 
-29.102216312232496, 19.700390253716375, 
-29.176645757131364, 19.67122532767622, 
-29.418330299520438, 19.749543419549386, 
-29.58267550639114, 19.77745893789549, 
-29.968027438934826, 19.884243070831364, 
-30.13554413957326, 19.90726319486845, 
-30.42079438466385, 19.950010592107557, 
-30.648703591365017, 19.971838858701016, 
-30.809620192689334, 19.94248781991554, 
-30.9559115053132, 19.885323339305653, 
-31.07306528443034, 19.82077400734191, 
-31.093684079398855, 19.710744429316495, 
-31.133692063294657, 19.56425511967197, 
-31.128216433883377, 19.440083771001575, 
-31.129667899719323, 19.27219247544189, 
-30.911781552155606, 19.080930586252265, 
-30.75371806314033, 18.879520425105675, 
-30.593912013219995, 18.68353139751738, 
-30.348202475769167, 18.473778278816432, 
-30.16069390550668, 18.26475133725746, 
-29.982982497912822, 18.083415811111443, 
