iteration,time_ps,temperature_K,pressure_GPa,mag_x_Bohr,mag_y_Bohr,mag_z_Bohr,mag_total_Bohr,abs_mag_total_Bohr,scf_iterations,energy_Ry,constraint_energy_Ry,scf_accuracy_Ry,force_correction_Ry_Bohr,total_force_Ry_Bohr,force_warning,fit_rmse_eV_A,fit_condition,fit_rank,imaginary_path_percent
27,0.02599913629588126,5241.23276945,388.365,-0.18,-0.08,-0.17,0.2601922366251538,57.93,92,-10526.09803649,0.51899056,9.525e-05,0.031088,1.536205,False,1.7691479757240933,3.7634131055178823,2,8.305647840531561
28,0.026999103076492077,4697.07619361,386.856,-0.15,-0.09,-0.19,0.25826343140289915,57.92,123,-10526.15261162,0.52121125,8.531e-05,0.034696,1.534719,False,1.7918186558631133,3.6035854105302985,2,8.305647840531561
29,0.027999069857102894,4343.43213268,386.25,-0.12,-0.04,-0.19,0.22825424421026655,57.95,41,-10526.20950881,0.51889199,9.021e-05,0.039742,1.525898,False,1.8095628365546805,3.4605174536310006,2,8.305647840531561
30,0.02899903663771371,5082.81478577,384.762,-0.08,-0.07,-0.21,0.23537204591879637,57.93,228,-10526.26954979,0.521705,9.501e-05,0.066001,1.50665,False,1.8218692904388636,3.322316129486207,2,8.194905869324474
31,0.02999900341832453,4398.18849735,383.799,-0.05,-0.04,-0.21,0.21954498400100148,57.92,31,-10526.327516,0.52226428,6.416e-05,0.045006,1.48951,False,1.8226328432071097,3.211970164686115,2,8.194905869324474
32,0.030998970198935348,4986.19106122,382.60900000000004,-0.02,-0.04,-0.21,0.21470910553583888,57.94,27,-10526.38932975,0.52154205,6.225e-05,0.048586,1.462936,False,1.8200411695634595,3.1170368064532568,2,8.084163898117387
33,0.031998936979546165,4917.11975301,382.767,0.01,-0.02,-0.21,0.21118712081942875,57.96,41,-10526.4517823,0.52006898,9.161e-05,0.040613,1.433801,False,1.8156684409075252,3.048135700625159,2,8.084163898117387
34,0.03299890376015698,4602.8671582,381.07,0.04,-0.01,-0.21,0.21400934559032694,57.96,70,-10526.50904251,0.52070143,9.323e-05,0.023056,1.402952,False,1.8086027279663521,3.0073538055459856,2,7.973421926910299
35,0.0339988705407678,4960.18085517,379.8,0.06,0.03,-0.21,0.220454076850486,57.96,773,-10526.56100489,0.52276366,5.369e-05,0.017441,1.372179,False,1.8014575463547593,2.992664247893211,2,7.862679955703211
36,0.034998837321378616,4994.6485406,378.96799999999996,0.09,0.03,-0.2,0.22135943621178658,57.96,70,-10526.60891149,0.52300988,8.915e-05,0.02598,1.336758,False,1.7992567398553438,3.005345220653658,2,7.751937984496124
37,0.03599880410198943,4579.69305383,377.781,0.1,0.07,-0.19,0.2258317958127243,57.97,31,-10526.65194974,0.52311556,8.218e-05,0.064306,1.314422,False,1.7939386859940232,3.041344027158014,2,7.751937984496124
38,0.03699877088260025,4701.57344184,377.45799999999997,0.12,0.1,-0.18,0.23832750575625972,57.96,37,-10526.68734476,0.52460266,9.251e-05,0.04316,1.301322,False,1.7963059352934991,3.0975347643720266,2,7.641196013289036
39,0.037998737663211074,4676.21838082,377.49,0.13,0.12,-0.17,0.24535688292770594,57.97,55,-10526.71501232,0.52389296,9.332e-05,0.034268,1.276061,False,1.758131629074667,3.1672986545572175,2,7.530454042081949
40,0.03899870444382189,4581.64894125,376.402,0.15,0.16,-0.17,0.2774887385102322,57.93,34,-10526.73788379,0.52717718,6.492e-05,0.0447,1.268046,False,1.7476627990109388,3.2424763608088956,2,7.419712070874862
41,0.03999867122443271,4458.83883041,376.377,0.16,0.19,-0.15,0.29017236257093815,57.92,26,-10526.75011048,0.52826208,7.835e-05,0.067733,1.260893,False,1.7232158512244058,3.315166352152219,2,7.308970099667775
42,0.040998638005043525,4011.38585245,376.467,0.17,0.23,-0.14,0.31843366656181316,57.92,22,-10526.76111547,0.52829383,4.426e-05,0.048091,1.262378,False,1.7010611026738196,3.377476351814762,2,7.308970099667775
43,0.04199860478565434,3806.3986887,376.198,0.18,0.26,-0.12,0.33823069050575527,57.88,25,-10526.76433355,0.5312894,5.45e-05,0.054074,1.268038,False,1.6840341582093532,3.4284368392180258,2,7.198228128460686
44,0.04299857156626516,3436.69565528,376.147,0.18,0.31,-0.11,0.3749666651850535,57.87,30,-10526.76731107,0.53188994,9.981e-05,0.073493,1.277636,False,1.6684968039870796,3.4667996402056374,2,7.087486157253599
45,0.043998538346875976,3190.99775633,376.588,0.18,0.35,-0.09,0.403732584763727,57.83,66,-10526.76303938,0.53508334,7.756e-05,0.032138,1.289389,False,1.6572807253781738,3.494820518533101,2,7.087486157253599
46,0.04499850512748679,2673.71812699,376.85,0.18,0.37,-0.07,0.4173727350941841,57.84,28,-10526.76640654,0.53460495,4.863e-05,0.056124,1.299005,False,1.6439369259979035,3.514943772106819,2,6.976744186046512
47,0.04599847190809761,2927.70689195,376.68,0.18,0.4,-0.05,0.44147480109288234,57.81,28,-10526.76845033,0.53621421,7.419e-05,0.067677,1.304626,False,1.6265532861691878,3.5307024979771957,2,6.976744186046512
48,0.04699843868870843,3312.77634176,377.307,0.17,0.41,-0.03,0.4448595283907045,57.79,41,-10526.77148587,0.53773148,8.784e-05,0.052038,1.309082,False,1.6058278506185604,3.5409058625128558,2,6.866002214839424
49,0.047998405469319244,3154.6004919,376.761,0.16,0.45,0.0,0.47759815745038214,57.77,106,-10526.77600441,0.53935345,9.948e-05,0.054409,1.318078,False,1.5991186352839557,3.545875131816865,2,6.866002214839424
50,0.04899837224993007,3068.25892855,376.918,0.14,0.46,0.03,0.4817675788178362,57.72,62,-10526.77639142,0.54324828,7.748e-05,0.037156,1.323575,False,1.5833068577703784,3.5480151178663992,2,6.755260243632337
51,0.049998339030540885,3841.06462846,377.443,0.12,0.48,0.05,0.49729267036625424,57.69,53,-10526.77979682,0.54584902,8.722e-05,0.034403,1.327282,False,1.5711514077912008,3.546324396320564,2,6.755260243632337
52,0.0509983058111517,3496.02388297,377.4,0.1,0.54,0.07,0.5536244214266564,57.64,68,-10526.78497358,0.55047371,9.725e-05,0.033748,1.329862,False,1.5601531757651195,3.54278752865732,2,6.755260243632337
53,0.05199827259176252,3762.29861007,377.95,0.07,0.54,0.09,0.5519057890618652,57.6,42,-10526.78486586,0.55284108,9.254e-05,0.029729,1.339127,False,1.5566499355760806,3.538438100011967,2,6.755260243632337
54,0.052998239372373336,3882.71512846,378.479,0.05,0.54,0.11,0.5533534132902769,57.54,31,-10526.78355946,0.55721571,8.197e-05,0.061765,1.3476,False,1.5519630454809714,3.534480512668198,2,6.64451827242525
55,0.05399820615298415,4107.70128745,378.33000000000004,0.02,0.5,0.13,0.5170106381884226,57.5,63,-10526.78731872,0.56010241,9.984e-05,0.056344,1.362327,False,1.5633851675646353,3.531794600698209,2,6.64451827242525
56,0.05499817293359497,4004.75287174,378.79699999999997,-0.01,0.49,0.14,0.5097057974949863,57.45,134,-10526.78632662,0.56434225,9.827e-05,0.044604,1.375506,False,1.5773132186009509,3.532278621095389,2,6.64451827242525
57,0.05599813971420579,3600.60551924,379.20500000000004,-0.04,0.47,0.15,0.49497474683058323,57.38,70,-10526.78086918,0.56955174,8.304e-05,0.041353,1.390511,False,1.5962231988844389,3.538466215127835,2,6.64451827242525
58,0.056998106494816604,3330.58915871,378.736,-0.06,0.47,0.15,0.49699094559156703,57.32,25,-10526.78277672,0.57460809,8.398e-05,0.056272,1.406477,False,1.6162066785489435,3.552380947521232,2,6.755260243632337
59,0.05799807327542742,3313.4905691,379.063,-0.09,0.46,0.15,0.4921381919745713,57.26,23,-10526.78481754,0.57911326,7.541e-05,0.069565,1.421333,False,1.6390754488131483,3.575640963614332,2,0.0
60,0.058998040056038245,2919.84296343,379.66700000000003,-0.11,0.42,0.15,0.459347363114234,57.21,61,-10526.792767,0.58321986,6.963e-05,0.02344,1.423474,False,1.64803973031098,3.608822205319951,2,0.0
61,0.05999800683664906,3245.91327789,379.18899999999996,-0.13,0.41,0.15,0.4555216789572149,57.17,31,-10526.81028475,0.58646155,6.535e-05,0.057495,1.424863,False,1.6551146775509025,3.655470302971996,2,0.0
62,0.06099797361725988,3225.19448816,378.979,-0.15,0.37,0.15,0.4264973622427224,57.13,40,-10526.83082144,0.59006167,6.292e-05,0.025394,1.419084,False,1.660565538772439,3.7139504555165375,2,0.0
63,0.061997940397870696,3175.98279665,374.044,-0.11,0.3,0.16,0.35735136770411274,55.75,40,-10526.97632643,0.48617383,3.577e-05,0.017087,1.404184,False,1.6630012950327102,3.784259189527753,2,0.0
64,0.06299790717848151,3671.90013428,374.023,-0.12,0.25,0.16,0.32015621187164245,55.73,31,-10527.00488898,0.48834623,7.332e-05,0.051499,1.384745,False,1.6615566102237516,3.8703888291930366,2,0.0
65,0.06399787395909233,3800.76932061,373.65700000000004,-0.14,0.22,0.15,0.30083217912982646,55.71,872,-10527.03175712,0.49090172,6.197e-05,0.014347,1.356647,False,1.6554782414772706,3.9663477893948103,2,0.0
66,0.06499784073970315,3544.74583635,373.111,-0.14,0.2,0.15,0.2865309756378881,55.67,39,-10527.06351184,0.49641917,8.63e-05,0.031972,1.325543,False,1.650657840624506,4.065845034135951,2,0.0
67,0.06599780752031396,3795.41034199,372.346,-0.16,0.17,0.16,0.2830194339616981,55.65,203,-10527.09340641,0.49936582,9.899e-05,0.048186,1.289298,False,1.6413654599101932,4.171988982388039,2,0.0
68,0.06699777430092478,3775.1728146,372.306,-0.17,0.19,0.16,0.3009983388658482,55.62,79,-10527.1218319,0.50299377,6.885e-05,0.035276,1.253124,False,1.6397339298010383,4.276848079092232,2,0.0
69,0.0679977410815356,3446.80960338,371.925,-0.18,0.15,0.16,0.28372521918222215,55.6,41,-10527.14517746,0.50648837,8.603e-05,0.038138,1.217652,False,1.6356601567943823,4.373491044486703,2,0.0
70,0.06899770786214642,3426.47649486,371.543,-0.18,0.12,0.17,0.2751363298439521,55.61,308,-10527.17085035,0.50690119,9.756e-05,0.040471,1.183332,False,1.6259183913699056,4.462667683627035,2,0.0
71,0.06999767464275723,3717.17670677,371.433,-0.19,0.11,0.17,0.2776688675382964,55.6,195,-10527.18944533,0.50924174,9.549e-05,0.031735,1.147989,False,1.6192152910409356,4.542102022188451,2,0.0
72,0.07099764142336805,3453.84358277,371.528,-0.19,0.1,0.18,0.28017851452243797,55.61,47,-10527.20307796,0.51041594,5.576e-05,0.031613,1.120166,False,1.6129037524528695,4.602500931711698,2,0.0
73,0.07199760820397887,3286.56768891,371.049,-0.19,0.09,0.18,0.27676705006196095,55.59,134,-10527.21041882,0.51288196,8.543e-05,0.036918,1.10113,False,1.6118624269134956,4.64454269472112,2,0.0
74,0.07299757498458968,3651.89442274,371.425,-0.19,0.07,0.18,0.2709243436828813,55.6,67,-10527.21420787,0.514463,8.125e-05,0.019605,1.092248,False,1.6286329080603668,4.667951312358166,2,0.0
75,0.0739975417652005,3717.78278717,371.433,-0.19,0.1,0.19,0.286705423736629,55.62,60,-10527.21617501,0.51405105,9.565e-05,0.04516,1.095876,False,1.6589711731717707,4.669293465363196,2,0.0
76,0.07499750854581133,3795.39329367,372.011,-0.18,0.08,0.19,0.27367864366808015,55.64,67,-10527.20311626,0.51459564,9.638e-05,0.046978,1.109199,False,1.7040882524484935,4.6494960084147765,2,0.0
77,0.07599747532642215,4123.40767753,372.619,-0.17,0.06,0.19,0.2619160170741759,55.65,52,-10527.18297805,0.51607953,7.856e-05,0.054568,1.14024,False,1.7741420291564434,4.608659223558026,2,0.0
78,0.07699744210703297,4312.02089222,373.34000000000003,-0.16,0.05,0.18,0.24596747752497686,55.67,46,-10527.15346972,0.51612294,7.361e-05,0.051316,1.18541,False,1.8653969815380615,4.549824428011962,2,0.0
79,0.07799740888764378,3987.20663859,373.835,-0.14,0.01,0.17,0.22045407685048604,55.66,76,-10527.12214816,0.51766757,5.535e-05,0.03256,1.235566,False,1.9606648052390045,4.483181835182095,2,0.0
80,0.0789973756682546,4279.384611,375.08000000000004,-0.12,-0.01,0.16,0.20024984394500786,55.69,25,-10527.07692048,0.51762749,9.1e-05,0.07233,1.298373,False,2.080261838078278,4.4084315841493975,2,0.0
81,0.07999734244886542,4593.82006716,376.081,-0.11,-0.03,0.15,0.18841443681416772,55.68,33,-10527.02755248,0.51991715,6.457e-05,0.049083,1.362659,False,2.205610281637271,4.3287588815107325,2,0.0
82,0.08099730922947623,4473.09313898,377.191,-0.1,-0.05,0.13,0.17146428199482247,55.7,52,-10526.97713622,0.52160937,9.668e-05,0.033393,1.432032,False,2.329860431196609,4.252271729151669,2,0.0
83,0.08199727601008705,3966.31431749,378.13800000000003,-0.08,-0.08,0.12,0.16492422502470644,55.7,84,-10526.92802489,0.52410116,7.792e-05,0.028576,1.494433,False,2.423113774402124,4.186845573787981,2,0.0
84,0.08299724279069787,4331.67252179,379.20500000000004,-0.07,-0.09,0.11,0.1584297951775486,55.71,207,-10526.8783604,0.52466925,7.904e-05,0.038245,1.554912,False,2.5372639625462297,4.126787938882866,2,0.0
85,0.08399720957130868,3949.05863194,380.433,-0.06,-0.09,0.09,0.1407124727947029,55.71,72,-10526.83730414,0.52570497,9.217e-05,0.03787,1.601071,False,2.6166260278315296,4.0796133419619975,2,0.0
86,0.0849971763519195,3977.88009542,381.173,-0.05,-0.11,0.06,0.13490737563232041,55.74,225,-10526.80146091,0.52564231,9.546e-05,0.027242,1.6426,False,2.6775393996560095,4.043332940252308,2,0.0
87,0.08599714313253032,3599.09924893,381.625,-0.05,-0.12,0.05,0.1392838827718412,55.72,39,-10526.77897329,0.5266359,3.925e-05,0.011659,1.659697,False,2.7087943218287927,4.020774497258632,2,0.0
88,0.08699710991314114,3717.27680353,381.73400000000004,-0.04,-0.12,0.03,0.13,55.74,27,-10526.76705665,0.52547964,7.249e-05,0.05479,1.668182,False,2.7175620576783857,4.009625382594528,2,0.0
89,0.08799707669375195,3535.45984717,381.899,-0.04,-0.12,0.01,0.1268857754044952,55.74,90,-10526.76455499,0.52781257,6.317e-05,0.049351,1.658937,False,2.6969103929623457,4.010349853409608,2,0.0
90,0.08899704347436277,3644.69685804,381.803,-0.03,-0.14,0.01,0.14352700094407325,55.74,36,-10526.76862878,0.52942696,9.667e-05,0.029352,1.641362,False,2.6757566542534783,4.021904043409702,2,0.0
91,0.08999701025497359,3768.6929235,381.433,-0.04,-0.12,-0.0,0.12649110640673517,55.74,36,-10526.78299139,0.53108177,7.745e-05,0.050251,1.61338,False,2.6322979898095054,4.043322030862682,2,0.0
92,0.0909969770355844,4237.20364084,381.865,-0.04,-0.12,-0.01,0.1268857754044952,55.76,121,-10526.80297366,0.53172318,9.992e-05,0.023563,1.578767,False,2.5847969806537257,4.073698028512705,2,0.0
93,0.09199694381619522,3357.9625291,381.117,-0.04,-0.14,-0.04,0.15099668870541502,55.79,29,-10526.8308815,0.53044657,9.238e-05,0.063369,1.542595,False,2.535083669928286,4.108682682633664,2,0.0
94,0.09299691059680604,3098.07570276,380.352,-0.04,-0.13,-0.05,0.1449137674618944,55.79,23,-10526.8623009,0.53270008,7.578e-05,0.062369,1.502774,False,2.476070645081247,4.150196383452252,2,0.0
95,0.09399687737741685,3483.79729385,380.01599999999996,-0.05,-0.11,-0.06,0.13490737563232041,55.77,29,-10526.89699153,0.53557816,9.213e-05,0.073102,1.457393,False,2.4124952434503886,4.20025453663991,2,0.0
96,0.09499684415802767,3563.03539769,380.018,-0.06,-0.11,-0.05,0.13490737563232041,55.78,143,-10526.92533541,0.53622084,9.917e-05,0.040378,1.415343,False,2.345290175479165,4.2550669260347584,2,0.0
97,0.09599681093863849,3772.92666111,378.834,-0.06,-0.09,-0.05,0.11916375287812984,55.79,98,-10526.96528001,0.53832051,6.921e-05,0.040184,1.375932,False,2.2993169039808405,4.313527731986718,2,0.0
98,0.09699677771924932,4162.55295633,379.127,-0.07,-0.09,-0.05,0.12449899597988733,55.8,44,-10526.99011622,0.53925205,5.596e-05,0.038525,1.34206,False,2.2498339444553648,4.374002874695391,2,0.0
99,0.09799674449986014,4578.02725725,378.685,-0.07,-0.1,-0.05,0.13190905958272922,55.79,54,-10527.00918013,0.54171103,9.684e-05,0.059655,1.320244,False,2.2240772397542328,4.43267091918511,2,0.0
100,0.09899671128047095,4342.60076748,378.259,-0.07,-0.07,-0.05,0.11090536506409418,55.77,68,-10527.02266936,0.54437535,6.75e-05,0.04011,1.311297,False,2.224879940425025,4.483446898773869,2,0.0
101,0.09999667806108177,4494.28121206,378.868,-0.08,-0.07,-0.05,0.11747340124470732,55.75,189,-10527.02389772,0.54731386,9.986e-05,0.03847,1.320464,False,2.250866648886914,4.526730259921154,2,0.0
102,0.10099664484169259,4666.85790549,378.284,-0.08,-0.05,-0.05,0.10677078252031312,55.74,261,-10527.01400457,0.55116474,7.31e-05,0.033861,1.339064,False,2.2994437045766523,4.560191135984048,2,0.0
103,0.1019966116223034,5030.7296457,378.81399999999996,-0.09,-0.05,-0.06,0.11916375287812986,55.72,24,-10526.99604483,0.55253496,9.888e-05,0.072572,1.374073,False,2.3665070056119193,4.581290679548448,2,0.0
104,0.10299657840291422,4998.20363142,379.816,-0.1,-0.05,-0.06,0.12688577540449522,55.72,28,-10526.96559345,0.55447189,7.623e-05,0.068383,1.424496,False,2.453624477979469,4.587918570809192,2,0.0
105,0.10399654518352504,4689.90288942,380.804,-0.11,-0.05,-0.07,0.1396424004376894,55.73,24,-10526.92514454,0.55433532,7.784e-05,0.075637,1.48336,False,2.552488366889051,4.582106223293154,2,0.0
106,0.10499651196413586,4188.91341555,381.54200000000003,-0.11,-0.07,-0.08,0.15297058540778355,55.71,34,-10526.88389806,0.55739488,7.281e-05,0.05232,1.538922,False,2.6393115506873803,4.568580219468441,2,0.0
107,0.10599647874474667,4150.64885085,382.40700000000004,-0.12,-0.09,-0.09,0.17492855684535902,55.74,31,-10526.83904721,0.55637698,7.387e-05,0.042078,1.588449,False,2.7034875209847806,4.549330073118187,2,0.0
108,0.10699644552535749,4226.39054872,383.15700000000004,-0.13,-0.1,-0.1,0.19209372712298547,55.74,22,-10526.79450498,0.55817804,7.002e-05,0.071319,1.639255,False,2.770038215549178,4.524947658864266,2,0.0
109,0.1079964123059683,3675.40766417,383.846,-0.14,-0.14,-0.1,0.22181073012818836,55.76,23,-10526.75809778,0.55758954,6.986e-05,0.078367,1.678056,False,2.8194719782821633,4.5007025248340025,2,0.0
110,0.10899637908657912,3606.05584619,384.309,-0.15,-0.14,-0.12,0.23769728648009425,55.77,30,-10526.72329015,0.55850274,9.268e-05,0.052241,1.705036,False,2.8481163055269576,4.476683918400106,2,0.0
111,0.10999634586718994,4127.52604552,384.868,-0.17,-0.11,-0.11,0.23043437243605827,55.81,27,-10526.69294629,0.55743542,9.93e-05,0.060432,1.723276,False,2.8693902918768335,4.448473855336343,2,0.0
112,0.11099631264780076,3508.2423552,384.87399999999997,-0.18,-0.16,-0.12,0.2690724809414742,55.81,27,-10526.67461132,0.55929793,8.645e-05,0.063557,1.732222,False,2.8735138026915594,4.42160059061155,2,0.0
113,0.11199627942841157,3620.89741237,385.298,-0.2,-0.14,-0.12,0.2720294101747089,55.86,33,-10526.66058538,0.55837817,8.835e-05,0.060048,1.727361,False,2.860890533364952,4.392913389863503,2,0.0
114,0.11299624620902239,4085.27040672,384.976,-0.22,-0.17,-0.12,0.3028200785945344,55.88,43,-10526.65270682,0.55782492,7.153e-05,0.04963,1.7164,False,2.8362998832940085,4.357393933102662,2,0.0
115,0.11399621298963321,3376.14671664,384.635,-0.24,-0.15,-0.12,0.30740852297878796,55.89,24,-10526.65489354,0.55792843,4.524e-05,0.059398,1.698979,False,2.8026974105506492,4.32180963883203,2,0.0
116,0.11499617977024403,3070.01193641,384.993,-0.25,-0.15,-0.11,0.3116087290176576,55.93,38,-10526.6594013,0.55640432,8.949e-05,0.060244,1.675725,False,2.7558397928415554,4.286224576583758,2,0.0
117,0.11599614655085484,3344.31460999,384.224,-0.27,-0.17,-0.11,0.33749074061372414,55.94,33,-10526.67739932,0.55628628,8.658e-05,0.02776,1.647954,False,2.7016958617892177,4.2457559465425865,2,0.0
118,0.11699611333146566,3423.25930703,383.61,-0.28,-0.2,-0.1,0.35832945734337834,55.99,26,-10526.70024828,0.55382147,7.237e-05,0.078997,1.618124,False,2.6368720119302456,4.200169748656134,2,0.0
119,0.11799608011207649,3297.23181906,382.582,-0.29,-0.21,-0.1,0.3717526059088221,56.0,36,-10526.72586089,0.55411337,4.462e-05,0.038691,1.590295,False,2.5723822513917,4.151505729922718,2,0.0
120,0.11899604689268731,3582.97108452,382.162,-0.3,-0.21,-0.09,0.377094152699296,56.04,33,-10526.75123683,0.551769,9.866e-05,0.086278,1.564322,False,2.506561242566517,4.096419600239414,2,0.0
121,0.11999601367329812,3863.7220617,381.385,-0.3,-0.2,-0.09,0.3716180835212409,56.05,54,-10526.77707992,0.55164432,9.718e-05,0.059814,1.545512,False,2.4480109776629484,4.034469511302932,2,0.0
122,0.12099598045390894,3610.92449086,380.976,-0.3,-0.22,-0.08,0.38052595180880894,56.08,26,-10526.80282238,0.5499016,9.748e-05,0.065065,1.529466,False,2.38860645311059,3.9723117178923766,2,0.0
