case,status,md_steps,total_electronic_iterations,mean_iterations_per_cycle,max_iterations_per_cycle,last_accuracy_Ry,mean_local_moment_Bohr_per_Fe,final_local_moment_Bohr_per_Fe,mean_temperature_K,final_temperature_K,mean_total_force_Ry_Bohr,max_total_force_Ry_Bohr,c_bands_warnings,cholesky_errors,qe_errors
a2p39_m2_lambda0p050_md10,DONE,10,60,6.0,9,0.00245954,1.332511,1.348307,4383.949,5672.024,0.805031,0.858314,3,0,0
a2p39_m2_lambda0p100_md10,DONE,10,60,6.0,9,0.00382348,1.572667,1.583517,3849.765,4159.652,0.819456,0.880072,6,0,0
