atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
1,A01,0.9692343809,0.9984766383,0.9956593788,9.88619050031308,10.184461520215558,10.155725473852907,0.35,65.9205808824,312.0243956781,0.21391727736139493,-0.23737587182782574,0.14280088907379979
2,A02,0.2485786527,0.0156984832,0.0325079858,2.5355022101273508,0.16012452564574978,0.33158144895958935,0.35,61.8806349432,194.4528795046,-0.298919667347889,-0.07704366201551188,0.16495849967754597
3,A03,0.4776847959,0.9904705891,0.020656554,4.872384827068791,10.102799819902591,0.21069684686007217,0.35,59.786649375,30.140528798,0.26156214067888217,0.15186956157014259,0.17612746189045395
4,A04,0.7674052119,0.0211312659,0.9800026175,7.827533015008967,0.215538908149528,9.9960265115792,0.35,129.5747369918,327.1226163204,0.22656877385190058,-0.1464470828397367,-0.2229794668640537
5,A05,0.9841537513,0.2066875994,0.9913371811,10.038368075547435,2.1082134744574406,10.111639058137303,0.35,120.1326173162,239.0756178907,-0.15556100682615212,-0.25967266589370197,-0.1757011091111597
6,A06,0.2859887183,0.2248395532,0.0118630501,2.917084872111942,2.293363399755228,0.12100310875730114,0.35,59.8452866249,249.6375137644,-0.10530444358857151,-0.2837235691748141,0.17581783315467694
7,A07,0.496519357,0.204736799,0.9880504813,5.06449734669638,2.0883153107495267,10.07811472080419,0.35,18.6763378161,286.7158666801,0.03223641103955502,-0.10734154600192626,0.33156991164037364
8,A08,0.7725051045,0.2409824133,0.0226691049,7.879551918556238,2.4580205696962194,0.23122486565620828,0.35,31.1597759934,126.3922915418,-0.10744809336522158,0.1457801067079138,0.2995047040038067
9,A09,0.9770287573,0.5083829165,0.0149424626,9.96569313810642,5.185505651333584,0.1524131156699494,0.35,49.5785528608,22.5063896178,0.24615954062852297,0.10199478336492739,0.22694172098557827
10,A10,0.2693947256,0.5016469955,0.0054465677,2.747826149736997,5.116799258418361,0.05555498950114891,0.35,98.5694356944,317.7168019587,0.2560491452317874,-0.2328495766365541,-0.05215275530831085
