MD_step,postpropagation_temperature_K,mean_local_moment_muB,S_proxy_kB_per_Fe,S_proxy_eV_per_K_per_Fe,minus_4000K_S_proxy_eV_per_Fe
67,3384.80728763,1.593732546642784,0.953010624148622,8.212410150653487e-05,-0.3284964060261395
68,3575.0751535,1.5939392264912122,0.9530893867650139,8.213088874367535e-05,-0.32852355497470137
69,3578.74495191,1.594875910901232,0.9534549887883579,8.216239388844004e-05,-0.3286495755537602
70,3666.0908132,1.5956431656049341,0.9537553986932168,8.218828121109423e-05,-0.3287531248443769
71,3377.08171366,1.5959208197874217,0.9538631185967256,8.219756379416924e-05,-0.3287902551766769
72,3245.35523269,1.5961472287579075,0.9539509179880152,8.220512976031881e-05,-0.3288205190412752
73,2996.36261162,1.5959889689006608,0.9538894689413853,8.219983449118429e-05,-0.32879933796473715
74,3296.8125691,1.595234162491804,0.9535938369102007,8.217435889382747e-05,-0.32869743557530984
75,3211.5144572,1.596110458561113,0.9539370772504351,8.220393705783558e-05,-0.3288157482313423
76,3224.38825743,1.5956539438416522,0.9537565586896103,8.218838117184929e-05,-0.3287535246873971
77,3279.52977213,1.5958513048907652,0.9538359568766086,8.219522317822703e-05,-0.3287808927129081
78,3469.90355796,1.5969904588967199,0.9542808467709797,8.22335608230746e-05,-0.32893424329229837
79,3499.47019633,1.5969858810039916,0.9542776677533145,8.223328687652791e-05,-0.32893314750611163
80,3694.16232119,1.5970355203663424,0.9543014867154893,8.22353394358781e-05,-0.3289413577435124
81,3915.58026778,1.5971532840056744,0.954351378504968,8.223963877764793e-05,-0.3289585551105917
82,4114.17111643,1.597412942088055,0.9544557636100353,8.224863399002762e-05,-0.32899453596011047
83,4661.49879616,1.5982757216628465,0.9547951460334019,8.227787970448227e-05,-0.32911151881792905
84,4564.08802193,1.5978762298117275,0.9546433310945959,8.226479730526362e-05,-0.3290591892210545
85,4760.83976939,1.5990071164194242,0.9550840283576777,8.230277365710054e-05,-0.32921109462840215
86,5087.15590491,1.5986793063486906,0.9549607412630563,8.22921495972878e-05,-0.3291685983891512
87,4941.62791233,1.5992186201606697,0.9551716786456063,8.231032677451657e-05,-0.3292413070980663
88,4665.0118779,1.5995799135056346,0.9553124101190783,8.232245407459039e-05,-0.3292898162983615
89,4929.43010141,1.5992675044821394,0.9551932378103828,8.23121845995939e-05,-0.3292487383983756
90,4904.45867522,1.599147893777116,0.9551470044130488,8.230820051366722e-05,-0.32923280205466887
91,4886.68819337,1.599307471296864,0.9552096840576476,8.231360182752984e-05,-0.3292544073101193
92,5031.32700933,1.599476167904884,0.9552746855925152,8.231920322641487e-05,-0.32927681290565947
93,5139.26900835,1.5994898304292915,0.9552801958183619,8.231967806093959e-05,-0.3292787122437583
